user_id,timestamp,event_type,device,location,traffic_source,product_id
U06199,2026-07-24 12:27:44.882855,visit,mobile,UK,paid_ads,P002
U07414,2026-07-24 12:29:08.886600,visit,desktop,Germany,social_media,P005
U16508,2026-07-24 12:30:07.933062,visit,mobile,India,social_media,P008
U06199,2026-07-24 12:30:33.882855,signup,mobile,UK,paid_ads,P002
U03120,2026-07-24 12:31:49.851509,visit,desktop,Germany,organic_search,P008
U23930,2026-07-24 12:32:02.988527,visit,desktop,India,paid_ads,P001
U03120,2026-07-24 12:32:36.851509,signup,desktop,Germany,organic_search,P008
U18589,2026-07-24 12:33:16.948687,visit,desktop,UK,social_media,P008
U18589,2026-07-24 12:36:55.948687,signup,desktop,UK,social_media,P008
U28161,2026-07-24 12:37:36.003032,visit,desktop,India,social_media,P001
U11666,2026-07-24 12:38:40.901705,visit,mobile,India,social_media,P001
U28058,2026-07-24 12:39:56.003032,visit,tablet,India,organic_search,P006
U02743,2026-07-24 12:41:12.851509,visit,desktop,Germany,paid_ads,P008
U02743,2026-07-24 12:41:36.851509,signup,desktop,Germany,paid_ads,P008
U11666,2026-07-24 12:41:56.901705,signup,mobile,India,social_media,P001
U16411,2026-07-24 12:42:10.933062,visit,desktop,UK,social_media,P006
U17751,2026-07-24 12:42:36.948687,visit,tablet,US,social_media,P005
U11666,2026-07-24 12:46:29.901705,add_to_cart,mobile,India,social_media,P001
U17955,2026-07-24 12:47:13.948687,visit,mobile,Germany,social_media,P002
U02743,2026-07-24 12:47:50.851509,add_to_cart,desktop,Germany,paid_ads,P008
U28596,2026-07-24 12:49:22.003032,visit,mobile,India,paid_ads,P002
U22448,2026-07-24 12:49:31.964307,visit,desktop,India,paid_ads,P007
U02743,2026-07-24 12:50:14.851509,purchase,desktop,Germany,paid_ads,P008
U17588,2026-07-24 12:50:21.948687,visit,desktop,Germany,paid_ads,P005
U14689,2026-07-24 12:51:46.933062,visit,desktop,UK,paid_ads,P002
U20319,2026-07-24 12:52:36.964307,visit,mobile,India,social_media,P003
U14689,2026-07-24 12:55:43.933062,signup,desktop,UK,paid_ads,P002
U11887,2026-07-24 12:57:55.901705,visit,mobile,Germany,organic_search,P008
U14689,2026-07-24 13:01:44.933062,add_to_cart,desktop,UK,paid_ads,P002
U04880,2026-07-24 13:01:54.874849,visit,mobile,US,organic_search,P006
U01807,2026-07-24 13:03:15.851509,visit,desktop,US,organic_search,P006
U14604,2026-07-24 13:03:54.933062,visit,mobile,US,paid_ads,P008
U14689,2026-07-24 13:05:22.933062,purchase,desktop,UK,paid_ads,P002
U14604,2026-07-24 13:06:31.933062,signup,mobile,US,paid_ads,P008
U04853,2026-07-24 13:07:22.874849,visit,desktop,India,organic_search,P001
U01807,2026-07-24 13:07:30.851509,signup,desktop,US,organic_search,P006
U26329,2026-07-24 13:09:54.003032,visit,mobile,US,paid_ads,P002
U00341,2026-07-24 13:10:06.835833,visit,mobile,US,organic_search,P008
U04853,2026-07-24 13:10:44.874849,signup,desktop,India,organic_search,P001
U00341,2026-07-24 13:12:58.835833,signup,mobile,US,organic_search,P008
U01040,2026-07-24 13:14:20.851509,visit,mobile,US,organic_search,P002
U04853,2026-07-24 13:19:13.874849,add_to_cart,desktop,India,organic_search,P001
U09776,2026-07-24 13:19:18.901705,visit,mobile,UK,social_media,P008
U01394,2026-07-24 13:24:22.851509,visit,desktop,India,paid_ads,P008
U27884,2026-07-24 13:25:07.003032,visit,mobile,US,paid_ads,P007
U01394,2026-07-24 13:25:56.851509,signup,desktop,India,paid_ads,P008
U08248,2026-07-24 13:26:48.886600,visit,tablet,India,paid_ads,P004
U27015,2026-07-24 13:27:12.003032,visit,desktop,US,paid_ads,P003
U25417,2026-07-24 13:28:29.997595,visit,mobile,Germany,paid_ads,P004
U27549,2026-07-24 13:31:02.003032,visit,mobile,US,social_media,P003
U06386,2026-07-24 13:31:15.883858,visit,mobile,UK,social_media,P002
U25417,2026-07-24 13:32:16.997595,signup,mobile,Germany,paid_ads,P004
U15336,2026-07-24 13:34:47.933062,visit,mobile,India,social_media,P001
U05699,2026-07-24 13:35:21.879858,visit,desktop,US,paid_ads,P004
U18415,2026-07-24 13:36:26.948687,visit,mobile,UK,social_media,P001
U09446,2026-07-24 13:37:29.901705,visit,desktop,Germany,organic_search,P004
U11770,2026-07-24 13:38:27.901705,visit,mobile,UK,paid_ads,P003
U00884,2026-07-24 13:39:40.851509,visit,mobile,UK,paid_ads,P007
U00644,2026-07-24 13:40:07.835833,visit,tablet,UK,organic_search,P001
U11770,2026-07-24 13:40:12.901705,signup,mobile,UK,paid_ads,P003
U25417,2026-07-24 13:40:21.997595,add_to_cart,mobile,Germany,paid_ads,P004
U00644,2026-07-24 13:40:47.835833,signup,tablet,UK,organic_search,P001
U22042,2026-07-24 13:48:49.964307,visit,desktop,Germany,social_media,P003
U17831,2026-07-24 13:48:56.948687,visit,mobile,Germany,paid_ads,P001
U01968,2026-07-24 13:49:33.851509,visit,mobile,US,paid_ads,P006
U16673,2026-07-24 13:49:42.933062,visit,mobile,India,paid_ads,P002
U11770,2026-07-24 13:50:01.901705,add_to_cart,mobile,UK,paid_ads,P003
U08286,2026-07-24 13:50:04.886600,visit,mobile,India,social_media,P005
U09962,2026-07-24 13:50:53.901705,visit,mobile,India,organic_search,P002
U22042,2026-07-24 13:51:36.964307,signup,desktop,Germany,social_media,P003
U17831,2026-07-24 13:51:54.948687,signup,mobile,Germany,paid_ads,P001
U09962,2026-07-24 13:52:29.901705,signup,mobile,India,organic_search,P002
U17831,2026-07-24 13:55:11.948687,add_to_cart,mobile,Germany,paid_ads,P001
U15375,2026-07-24 13:55:24.933062,visit,mobile,India,social_media,P008
U13521,2026-07-24 13:57:08.917437,visit,mobile,India,organic_search,P006
U22042,2026-07-24 13:57:21.964307,add_to_cart,desktop,Germany,social_media,P003
U16595,2026-07-24 13:59:14.933062,visit,desktop,US,paid_ads,P008
U09962,2026-07-24 14:00:52.901705,add_to_cart,mobile,India,organic_search,P002
U07996,2026-07-24 14:01:55.886600,visit,mobile,India,paid_ads,P008
U07996,2026-07-24 14:03:35.886600,signup,mobile,India,paid_ads,P008
U16595,2026-07-24 14:03:40.933062,signup,desktop,US,paid_ads,P008
U24675,2026-07-24 14:08:03.992607,visit,mobile,US,paid_ads,P004
U17566,2026-07-24 14:08:48.948687,visit,mobile,India,social_media,P007
U24675,2026-07-24 14:10:56.992607,signup,mobile,US,paid_ads,P004
U16595,2026-07-24 14:10:58.933062,add_to_cart,desktop,US,paid_ads,P008
U10426,2026-07-24 14:11:17.901705,visit,mobile,India,social_media,P007
U27971,2026-07-24 14:12:27.003032,visit,desktop,UK,social_media,P005
U03778,2026-07-24 14:12:28.868725,visit,mobile,India,social_media,P002
U02312,2026-07-24 14:12:38.851509,visit,tablet,Germany,social_media,P007
U17566,2026-07-24 14:12:57.948687,signup,mobile,India,social_media,P007
U03758,2026-07-24 14:13:25.868725,visit,mobile,Germany,paid_ads,P006
U07450,2026-07-24 14:14:22.886600,visit,mobile,India,paid_ads,P002
U16595,2026-07-24 14:14:57.933062,purchase,desktop,US,paid_ads,P008
U27971,2026-07-24 14:15:10.003032,signup,desktop,UK,social_media,P005
U03758,2026-07-24 14:17:17.868725,signup,mobile,Germany,paid_ads,P006
U21147,2026-07-24 14:17:27.964307,visit,desktop,Germany,organic_search,P003
U27971,2026-07-24 14:17:31.003032,add_to_cart,desktop,UK,social_media,P005
U01860,2026-07-24 14:19:28.851509,visit,desktop,Germany,social_media,P002
U28196,2026-07-24 14:19:31.003032,visit,tablet,India,paid_ads,P007
U01860,2026-07-24 14:19:48.851509,signup,desktop,Germany,social_media,P002
U27807,2026-07-24 14:20:21.003032,visit,mobile,Germany,social_media,P007
U05727,2026-07-24 14:20:41.879858,visit,desktop,UK,paid_ads,P003
U28196,2026-07-24 14:22:24.003032,signup,tablet,India,paid_ads,P007
U12434,2026-07-24 14:22:43.917437,visit,mobile,US,organic_search,P006
U00732,2026-07-24 14:23:19.835833,visit,desktop,Germany,paid_ads,P008
U27807,2026-07-24 14:23:54.003032,signup,mobile,Germany,social_media,P007
U05727,2026-07-24 14:24:16.879858,signup,desktop,UK,paid_ads,P003
U27628,2026-07-24 14:25:11.003032,visit,mobile,US,social_media,P001
U28196,2026-07-24 14:25:20.003032,add_to_cart,tablet,India,paid_ads,P007
U06531,2026-07-24 14:25:29.884851,visit,mobile,Germany,organic_search,P008
U00732,2026-07-24 14:26:29.835833,signup,desktop,Germany,paid_ads,P008
U12434,2026-07-24 14:26:32.917437,signup,mobile,US,organic_search,P006
U18816,2026-07-24 14:27:28.948687,visit,mobile,US,organic_search,P004
U09177,2026-07-24 14:29:10.886600,visit,mobile,US,organic_search,P007
U05686,2026-07-24 14:29:28.879858,visit,desktop,UK,organic_search,P004
U19582,2026-07-24 14:30:09.948687,visit,mobile,India,organic_search,P005
U05686,2026-07-24 14:31:07.879858,signup,desktop,UK,organic_search,P004
U28196,2026-07-24 14:31:45.003032,purchase,tablet,India,paid_ads,P007
U20480,2026-07-24 14:32:14.964307,visit,tablet,UK,paid_ads,P006
U19582,2026-07-24 14:32:48.948687,signup,mobile,India,organic_search,P005
U05686,2026-07-24 14:33:12.879858,add_to_cart,desktop,UK,organic_search,P004
U24946,2026-07-24 14:33:25.994586,visit,mobile,India,paid_ads,P008
U05727,2026-07-24 14:33:34.879858,add_to_cart,desktop,UK,paid_ads,P003
U02256,2026-07-24 14:35:46.851509,visit,desktop,US,organic_search,P001
U02256,2026-07-24 14:39:33.851509,signup,desktop,US,organic_search,P001
U19582,2026-07-24 14:40:00.948687,add_to_cart,mobile,India,organic_search,P005
U04762,2026-07-24 14:40:11.873846,visit,mobile,India,paid_ads,P008
U01773,2026-07-24 14:41:55.851509,visit,tablet,India,paid_ads,P005
U14659,2026-07-24 14:43:16.933062,visit,desktop,India,organic_search,P008
U01773,2026-07-24 14:44:16.851509,signup,tablet,India,paid_ads,P005
U23874,2026-07-24 14:45:42.988527,visit,mobile,India,social_media,P008
U25857,2026-07-24 14:49:32.999588,visit,mobile,UK,social_media,P002
U11043,2026-07-24 14:50:46.901705,visit,mobile,US,paid_ads,P008
U03181,2026-07-24 14:51:34.851509,visit,mobile,Germany,paid_ads,P004
U11914,2026-07-24 14:52:30.901705,visit,desktop,India,organic_search,P004
U01522,2026-07-24 14:53:14.851509,visit,mobile,India,organic_search,P005
U03570,2026-07-24 14:55:11.867126,visit,mobile,Germany,organic_search,P007
U27252,2026-07-24 14:55:51.003032,visit,desktop,US,organic_search,P008
U03570,2026-07-24 14:56:01.867126,signup,mobile,Germany,organic_search,P007
U08480,2026-07-24 14:59:13.886600,visit,mobile,UK,paid_ads,P004
U18687,2026-07-24 15:01:41.948687,visit,desktop,UK,organic_search,P005
U16362,2026-07-24 15:04:11.933062,visit,mobile,US,social_media,P008
U18687,2026-07-24 15:04:36.948687,signup,desktop,UK,organic_search,P005
U04373,2026-07-24 15:06:41.871849,visit,desktop,India,organic_search,P008
U03577,2026-07-24 15:07:24.867126,visit,desktop,India,organic_search,P006
U07004,2026-07-24 15:07:24.886600,visit,desktop,UK,organic_search,P002
U03577,2026-07-24 15:08:49.867126,signup,desktop,India,organic_search,P006
U05553,2026-07-24 15:09:49.878852,visit,desktop,US,organic_search,P005
U04184,2026-07-24 15:10:40.870855,visit,mobile,UK,organic_search,P006
U04184,2026-07-24 15:11:00.870855,signup,mobile,UK,organic_search,P006
U18687,2026-07-24 15:11:05.948687,add_to_cart,desktop,UK,organic_search,P005
U04373,2026-07-24 15:11:13.871849,signup,desktop,India,organic_search,P008
U17773,2026-07-24 15:11:39.948687,visit,mobile,Germany,paid_ads,P004
U07004,2026-07-24 15:12:16.886600,signup,desktop,UK,organic_search,P002
U03577,2026-07-24 15:12:34.867126,add_to_cart,desktop,India,organic_search,P006
U05553,2026-07-24 15:12:49.878852,signup,desktop,US,organic_search,P005
U12715,2026-07-24 15:13:03.917437,visit,mobile,US,organic_search,P004
U05553,2026-07-24 15:14:30.878852,add_to_cart,desktop,US,organic_search,P005
U16528,2026-07-24 15:15:41.933062,visit,tablet,US,organic_search,P001
U04373,2026-07-24 15:16:34.871849,add_to_cart,desktop,India,organic_search,P008
U11720,2026-07-24 15:16:45.901705,visit,mobile,UK,social_media,P004
U01441,2026-07-24 15:17:00.851509,visit,desktop,US,paid_ads,P001
U04184,2026-07-24 15:17:12.870855,add_to_cart,mobile,UK,organic_search,P006
U01441,2026-07-24 15:19:37.851509,signup,desktop,US,paid_ads,P001
U18294,2026-07-24 15:21:06.948687,visit,desktop,US,organic_search,P006
U07004,2026-07-24 15:21:16.886600,add_to_cart,desktop,UK,organic_search,P002
U05553,2026-07-24 15:22:50.878852,purchase,desktop,US,organic_search,P005
U18687,2026-07-24 15:24:16.948687,purchase,desktop,UK,organic_search,P005
U17901,2026-07-24 15:24:17.948687,visit,desktop,US,organic_search,P001
U01984,2026-07-24 15:24:51.851509,visit,desktop,UK,organic_search,P005
U18294,2026-07-24 15:25:13.948687,signup,desktop,US,organic_search,P006
U10452,2026-07-24 15:25:21.901705,visit,mobile,India,organic_search,P007
