user_id,device,location,traffic_source,visit_count,signup_count,cart_count,checkout_count,purchase_count,current_stage,dropped_off
LIVE_A2R7O5BP,desktop,India,organic_search,2,0,2,2,1,purchase,0
U00001,desktop,US,organic_search,1,0,0,0,0,visit,1
U00002,desktop,India,organic_search,1,1,1,0,0,add_to_cart,1
U00003,desktop,India,organic_search,1,1,0,0,0,signup,1
U00004,mobile,UK,organic_search,1,1,1,0,0,add_to_cart,1
U00005,desktop,India,paid_ads,1,0,0,0,0,visit,1
U00006,desktop,Germany,social_media,1,1,0,0,0,signup,1
U00007,tablet,India,social_media,1,0,0,0,0,visit,1
U00008,desktop,US,organic_search,1,0,0,0,0,visit,1
U00009,mobile,India,organic_search,1,0,0,0,0,visit,1
U00010,desktop,Germany,paid_ads,1,0,0,0,0,visit,1
U00011,desktop,UK,organic_search,1,0,0,0,0,visit,1
U00012,mobile,India,paid_ads,1,1,1,0,0,add_to_cart,1
U00013,mobile,US,social_media,1,0,0,0,0,visit,1
U00014,desktop,US,organic_search,1,1,0,0,0,signup,1
U00015,mobile,US,paid_ads,1,0,0,0,0,visit,1
U00016,mobile,US,paid_ads,1,1,1,0,0,add_to_cart,1
U00017,desktop,UK,organic_search,1,0,0,0,0,visit,1
U00018,mobile,India,paid_ads,1,1,1,0,0,add_to_cart,1
U00019,desktop,US,organic_search,1,0,0,0,0,visit,1
U00020,desktop,India,paid_ads,1,0,0,0,0,visit,1
U00021,tablet,US,paid_ads,1,0,0,0,0,visit,1
U00022,desktop,Germany,paid_ads,1,1,1,0,1,purchase,0
U00023,mobile,Germany,paid_ads,1,0,0,0,0,visit,1
U00024,mobile,US,organic_search,1,0,0,0,0,visit,1
U00025,mobile,UK,paid_ads,1,0,0,0,0,visit,1
U00026,desktop,US,organic_search,1,1,0,0,0,signup,1
U00027,mobile,Germany,paid_ads,1,0,0,0,0,visit,1
U00028,desktop,US,organic_search,1,1,1,0,1,purchase,0
U00029,mobile,Germany,paid_ads,1,0,0,0,0,visit,1
U00030,desktop,US,paid_ads,1,0,0,0,0,visit,1
U00031,mobile,US,organic_search,1,1,1,0,0,add_to_cart,1
U00032,mobile,India,organic_search,1,1,0,0,0,signup,1
U00033,desktop,US,social_media,1,1,0,0,0,signup,1
U00034,mobile,US,social_media,1,0,0,0,0,visit,1
U00035,desktop,UK,paid_ads,1,1,1,0,1,purchase,0
U00036,mobile,US,social_media,1,0,0,0,0,visit,1
U00037,tablet,India,organic_search,1,1,0,0,0,signup,1
U00038,desktop,UK,organic_search,1,0,0,0,0,visit,1
U00039,desktop,UK,paid_ads,1,0,0,0,0,visit,1
U00040,mobile,US,organic_search,1,1,0,0,0,signup,1
U00041,mobile,Germany,organic_search,1,0,0,0,0,visit,1
U00042,desktop,US,organic_search,1,1,0,0,0,signup,1
U00043,mobile,India,paid_ads,1,1,0,0,0,signup,1
U00044,desktop,US,organic_search,1,0,0,0,0,visit,1
U00045,mobile,US,organic_search,1,1,0,0,0,signup,1
U00046,mobile,Germany,social_media,1,0,0,0,0,visit,1
U00047,tablet,India,social_media,1,0,0,0,0,visit,1
U00048,mobile,India,social_media,1,1,0,0,0,signup,1
U00049,mobile,UK,organic_search,1,1,1,0,0,add_to_cart,1
U00050,mobile,US,social_media,1,0,0,0,0,visit,1
U00051,tablet,UK,social_media,1,1,1,0,0,add_to_cart,1
U00052,desktop,UK,social_media,1,0,0,0,0,visit,1
U00053,mobile,US,organic_search,1,1,0,0,0,signup,1
U00054,desktop,US,social_media,1,0,0,0,0,visit,1
U00055,desktop,Germany,organic_search,1,0,0,0,0,visit,1
U00056,mobile,UK,organic_search,1,1,1,0,0,add_to_cart,1
U00057,mobile,India,social_media,1,0,0,0,0,visit,1
U00058,desktop,Germany,organic_search,1,1,1,0,1,purchase,0
U00059,desktop,India,paid_ads,1,1,1,0,0,add_to_cart,1
U00060,desktop,India,social_media,1,0,0,0,0,visit,1
U00061,desktop,UK,paid_ads,1,1,0,0,0,signup,1
U00062,tablet,Germany,social_media,1,0,0,0,0,visit,1
U00063,desktop,UK,social_media,1,0,0,0,0,visit,1
U00064,mobile,US,organic_search,1,0,0,0,0,visit,1
U00065,mobile,UK,paid_ads,1,1,1,0,0,add_to_cart,1
U00066,desktop,India,organic_search,1,1,1,0,1,purchase,0
U00067,mobile,Germany,social_media,1,1,0,0,0,signup,1
U00068,mobile,India,social_media,1,0,0,0,0,visit,1
U00069,mobile,US,organic_search,1,0,0,0,0,visit,1
U00070,tablet,India,paid_ads,1,0,0,0,0,visit,1
U00071,mobile,Germany,organic_search,1,1,1,0,0,add_to_cart,1
U00072,desktop,UK,social_media,1,0,0,0,0,visit,1
U00073,mobile,India,organic_search,1,0,0,0,0,visit,1
U00074,desktop,Germany,social_media,1,0,0,0,0,visit,1
U00075,desktop,US,paid_ads,1,0,0,0,0,visit,1
U00076,mobile,US,organic_search,1,0,0,0,0,visit,1
U00077,mobile,US,organic_search,1,0,0,0,0,visit,1
U00078,mobile,Germany,social_media,1,0,0,0,0,visit,1
U00079,mobile,Germany,social_media,1,0,0,0,0,visit,1
